place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJp2_rU8wf4xIRtPR0GpC3oSU,Gare routere de Bizerte,,False,22,http://www.srtbizerte.com.tn/,Gare routere de Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO0ghqEdL0qR59ULEgJeWMLGepq2Davn3hSgAIx=w408-h544-k-no,Arret de bus,Arret de bus,2.8,,,,"Gare routere de Bizerte, P8, Zarzouna 7000",aeroport,https://www.google.com/maps/place/Gare+rout%C3%A8re+de+Bizerte/data=!4m7!3m6!1s0x12e31fcc53eb6fa7:0x25a1b7901a74f4b4!8m2!3d37.2649599!4d9.8864293!16s%2Fg%2F1tfljn90!19sChIJp2_rU8wf4xIRtPR0GpC3oSU?authuser=0&hl=fr&rclk=1
ChIJwaIcQPQj4xIRTY8mO6bL_Os,Gare Ferroviaire de Menzel-Bourguiba,,False,19,,Gare Ferroviaire de Menzel-Bourguiba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPg_s-uKdG2KuY1Xw8KF0Z4h5ULF6gtDWCfKlPL=w408-h274-k-no,Gare,Gare,3.8,,,,"Gare Ferroviaire de Menzel-Bourguiba, Menzel Bourguiba 7050",,https://www.google.com/maps/place/Gare+Ferroviaire+de+Menzel-Bourguiba/data=!4m7!3m6!1s0x12e323f4401ca2c1:0xebfccba63b268f4d!8m2!3d37.1515177!4d9.7938797!16s%2Fg%2F1vg0sv2z!19sChIJwaIcQPQj4xIRTY8mO6bL_Os?authuser=0&hl=fr&rclk=1
ChIJD1qa4Yrh4hIRotm01Cynis0,Auto-route bizerte,,False,14,,Auto-route bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMffsEPIQoB8m16nymlqLHxtVKBLrHR1EmteYm0=w408-h544-k-no,Aire d'autoroute,Aire d'autoroute,3.4,,,,"6WWF+7R5 Auto-route bizerte, A4, Menzel Jemil",,https://www.google.com/maps/place/Auto-route+bizerte/data=!4m7!3m6!1s0x12e2e18ae19a5a0f:0xcd8aa72cd4b4d9a2!8m2!3d37.2456354!4d9.9246075!16s%2Fg%2F11q33c35dx!19sChIJD1qa4Yrh4hIRotm01Cynis0?authuser=0&hl=fr&rclk=1
ChIJJ8pKOLrn4hIRzbRLxHsxYMo,Metline,,False,12,,Metline (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOV0IPW0KlDPtVtapaWqmY_PsJwQOxXD-AtMyGp=w448-h240-k-no,Arret de bus,Arret de bus,4.6,,,,"Metline, Al Matlin 1722",,https://www.google.com/maps/place/Metline/data=!4m7!3m6!1s0x12e2e7ba384aca27:0xca60317bc44bb4cd!8m2!3d37.2408476!4d10.0515246!16s%2Fg%2F11h0m6v39!19sChIJJ8pKOLrn4hIRzbRLxHsxYMo?authuser=0&hl=fr&rclk=1
ChIJrVsuzscf4xIRUzeVWIsuBf4,Gare routiere de Bizerte,,False,11,http://www.srtbizerte.com.tn/,Gare routiere de Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOzMZrg0qVXiZc2u-3R9WhNlbEu_DrrsI_2dgcT=w408-h306-k-no,Service de transport,Service de transport,3.3,,,99 645 758,"7V9F+J2G Gare routiere de Bizerte, Rue Ler Jule 1956, Bizerte 7000",,https://www.google.com/maps/place/Gare+routi%C3%A8re+de+Bizerte/data=!4m7!3m6!1s0x12e31fc7ce2e5bad:0xfe052e8b58953753!8m2!3d37.2690662!4d9.8725834!16s%2Fg%2F11j997nc10!19sChIJrVsuzscf4xIRUzeVWIsuBf4?authuser=0&hl=fr&rclk=1
ChIJkz30x3oj4xIRCnJ_fRs69zw,gare ferroviaire de Tinja,,False,11,,gare ferroviaire de Tinja (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOazh3b1ZpxE1BOm_WtN1JAWJsZqK1lCnjkiqUs=w408-h306-k-no,Gare,Gare,4.2,,,,"gare ferroviaire de Tinja, P11, Tinjah",,https://www.google.com/maps/place/gare+ferroviaire+de+Tinja/data=!4m7!3m6!1s0x12e3237ac7f43d93:0x3cf73a1b7d7f720a!8m2!3d37.1599994!4d9.7575002!16s%2Fg%2F1vzxh0l7!19sChIJkz30x3oj4xIRCnJ_fRs69zw?authuser=0&hl=fr&rclk=1
ChIJbw_GNxsf4xIR1ia5-fjV9q0,Shell Bizerte GP11,,False,10,https://find.shell.com/tn/fuel/TN_10044820-bizerte-gp11,Shell Bizerte GP11 (proprietaire),https://www.google.com/maps/contrib/103597443589961771767,https://lh5.googleusercontent.com/p/AF1QipNGDeqLsXXKD_QdM407cSGutrQzAOXewZtOZ4mT=w408-h306-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",4,Ouvert 24h/24,,71 249 149,"Shell Bizerte GP11, P11 Route, Menzel Bourguiba 7000",,https://www.google.com/maps/place/Shell+Bizerte+GP11/data=!4m7!3m6!1s0x12e31f1b37c60f6f:0xadf6d5f8f9b926d6!8m2!3d37.264075!4d9.8454278!16s%2Fg%2F11x9l4q29!19sChIJbw_GNxsf4xIR1ia5-fjV9q0?authuser=0&hl=fr&rclk=1
ChIJv20eWnPg4hIRq59I2J7FcZY,S/S SHELL MENZEL JEMIL,,False,8,https://www.shell.com/,S/S SHELL MENZEL JEMIL (proprietaire),https://www.google.com/maps/contrib/105246434127854539698,https://lh5.googleusercontent.com/p/AF1QipPXEV4Ou5YeIdsjnXC-G1WIHcoSTLZiUHO_Vrw6=w519-h240-k-no,Station-service,Station-service,4.1,Ouvert 24h/24,,23 600 404,"S/S SHELL MENZEL JEMIL, GP8, Menzel Jemil 7080",,https://www.google.com/maps/place/S%2FS+SHELL+MENZEL+JEMIL/data=!4m7!3m6!1s0x12e2e0735a1e6dbf:0x9671c59ed8489fab!8m2!3d37.2273507!4d9.9249976!16s%2Fg%2F1tgs7y47!19sChIJv20eWnPg4hIRq59I2J7FcZY?authuser=0&hl=fr&rclk=1
ChIJ8dZ0svUe4xIRUFR78UTVx0w,"station bus 15,et taxis",,False,8,,"station bus 15,et taxis (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipNkCxZSADc3S9-0-cUQjH3QXBxC06PGwiaUqE_E=w408-h306-k-no,Station de taxis,Station de taxis,4.4,,,,"7VQ3+4RX station bus 15,et taxis, Bizerte",,"https://www.google.com/maps/place/station+bus+15,et+taxis/data=!4m7!3m6!1s0x12e31ef5b274d6f1:0x4cc7d544f17b5450!8m2!3d37.287863!4d9.8546103!16s%2Fg%2F1vq89fw8!19sChIJ8dZ0svUe4xIRUFR78UTVx0w?authuser=0&hl=fr&rclk=1"
ChIJV30CYS3o4hIRNU8aZ41TCvU,Station Taxi Matline,,False,6,,Station Taxi Matline (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNKzxlawQMw0w51E2GveZIAqrTBjMQT-UvK503Z=w408-h544-k-no,Station de taxis,Station de taxis,3.5,,,,"647F+V7R Station Taxi Matline, Ras Jebel 7070",,https://www.google.com/maps/place/Station+Taxi+Matline/data=!4m7!3m6!1s0x12e2e82d61027d57:0xf50a538d671a4f35!8m2!3d37.2147433!4d10.123145!16s%2Fg%2F1tf04wp9!19sChIJV30CYS3o4hIRNU8aZ41TCvU?authuser=0&hl=fr&rclk=1
